VISIT_AREA_TYPE_CD,TRAVEL_STYL_3,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MISSION_INT,VISIT_AREA_NM,DGSTFN
5,2,자녀 동반 여행,5,김천종합운동장,5
11,1,자녀 동반 여행,8,자유 궁,4
24,1,자녀 동반 여행,8,포천 자연마을 서울 캠핑장,5
13,1,자녀 동반 여행,8,고석정 국민관광지,5
22,2,3인 이상 여행(가족 외),3,여항산 제일 간 장,3
1,2,3인 이상 여행(가족 외),3,별천계곡,3
7,2,3인 이상 여행(가족 외),3,여항산 호수길,4
22,2,3인 이상 여행(가족 외),3,여항산 제일 간 장,1
2,2,3인 이상 여행(가족 외),3,무진장,3
4,2,3인 이상 여행(가족 외),3,식목일,3
11,2,3인 이상 여행(가족 외),3,하마스 빅버거,4
1,2,3인 이상 여행(가족 외),3,광암해수욕장,4
11,2,3인 이상 여행(가족 외),3,주도 횟집,5
22,2,3인 이상 여행(가족 외),3,여항산 제일 간장,5
1,1,나홀로 여행,23,고석정 꽃밭,4
11,1,나홀로 여행,23,상하이,4
11,1,나홀로 여행,23,카페 마들렌,4
24,1,나홀로 여행,23,엠앤 러키 호텔,4
4,1,나홀로 여행,23,익선동 한옥거리,5
24,1,나홀로 여행,23,이비스 스타일 앰배서더 명동,5
24,1,나홀로 여행,23,이비스 스타일 앰배서더 명동,5
4,1,나홀로 여행,23,이누스 강남 직영점,4
11,1,나홀로 여행,23,앰배서더 서울 풀만 더 라운지 앤 바,5
11,1,나홀로 여행,23,스미 로우,5
2,1,나홀로 여행,23,천주교 서울 대교구 주교좌 명동 대성당,5
11,2,나홀로 여행,22,바비치 성서점,5
22,2,나홀로 여행,22,성서 동서 화성타운 아파트,1
7,2,나홀로 여행,22,대구 성서운동장,4
22,2,나홀로 여행,22,성서 동서 화성타운 아파트,5
1,2,나홀로 여행,22,와룡산,5
22,2,나홀로 여행,22,성서 동서 화성타운 아파트,3
11,2,나홀로 여행,22,바라던 바다 대게 새우,4
1,2,나홀로 여행,22,금호 꽃섬,5
22,2,나홀로 여행,22,성서 동서 화성타운 아파트,5
8,2,나홀로 여행,22,이곳 장미공원,5
11,2,나홀로 여행,22,설빙 대구 성서점,5
11,2,나홀로 여행,22,풍년 구생 막창 본점,5
22,2,나홀로 여행,22,성서 동서 화성타운 아파트,2
13,1,2인 여행(가족 외),5,가리산 레포츠파크,5
11,1,2인 여행(가족 외),5,한마음 정육 식당 강원 홍천점,5
11,1,3인 이상 여행(가족 외),7,백년손님,5
4,1,3인 이상 여행(가족 외),7,러키 할인마트 대부점,5
4,1,3인 이상 여행(가족 외),7,러키 할인마트 대부점,5
11,1,3인 이상 여행(가족 외),7,대부도 맛집 풍경,5
4,1,3인 이상 여행(가족 외),7,라라랜드,5
13,1,3인 이상 여행(가족 외),7,화개 장터,5
24,1,3인 이상 여행(가족 외),7,와바 모텔,5
1,1,3인 이상 여행(가족 외),7,노산공원,5
11,1,3인 이상 여행(가족 외),7,고가네 칼국수,5
11,2,2인 여행(가족 외),6,스타벅스 리버사이드대성리DT점,4
13,2,2인 여행(가족 외),6,텐파크,4
24,2,2인 여행(가족 외),6,에그하우스,3
11,2,2인 여행(가족 외),6,라멘 선생 수제돈가스,3
7,2,2인 여행(가족 외),6,가평 잣 고을시장,3
24,2,2인 여행(가족 외),6,에그하우스,3
1,2,2인 여행(가족 외),6,용추계곡,4
11,2,2인 여행(가족 외),6,공원 막국수,5
11,2,2인 여행(가족 외),6,더 플래츠,3
4,2,2인 여행(가족 외),6,동두천 관광특구,4
4,2,2인 여행(가족 외),6,롯데 프리미엄 아울렛 파주점,4
24,2,2인 여행(가족 외),6,네이처 스파,4
11,2,2인 여행(가족 외),6,더티 트렁크,4
4,2,2인 여행(가족 외),6,이마트 파주 운정점,3
9,2,2인 여행(가족 외),6,미키 주유소,4
24,3,2인 여행(가족 외),5,아롬 스파 펜션,4
5,3,2인 여행(가족 외),5,르푸앵 수상 레저,3
11,3,2인 여행(가족 외),5,남이섬 웰빙 닭갈비 막국수,5
10,3,2인 여행(가족 외),5,세븐일레븐 남이섬점,4
11,3,2인 여행(가족 외),5,엄마네 칼국수,5
11,3,2인 여행(가족 외),5,개화당 본점,5
1,3,2인 여행(가족 외),5,제이드가든 수목원,5
10,3,2인 여행(가족 외),5,가평군 농협 하나로마트 본점,5
12,3,2인 여행(가족 외),5,명지산 주유소,4
24,3,2인 여행(가족 외),5,또바기 스파 글램핑,5
11,3,2인 여행(가족 외),5,우렁이 쌈밥,5
9,3,2인 여행(가족 외),5,남이섬 가평 선착장,4
1,3,2인 여행(가족 외),5,남이섬,5
11,3,2인 여행(가족 외),5,스윙 카페 베이커리,4
10,3,2인 여행(가족 외),5,남이섬 바이크 센터,4
11,3,2인 여행(가족 외),5,소나타 카페,3
11,3,2인 여행(가족 외),5,카페 느리게 걷기,5
1,3,2인 여행(가족 외),5,자라섬,5
11,3,2인 여행(가족 외),5,남이섬 풍경 닭갈비,5
2,1,2인 가족 여행,3,제 따오나 선원,4
11,1,2인 가족 여행,3,풍물 옹심이 칼국수,5
2,1,2인 가족 여행,3,국립춘천 박물관,5
22,2,부모 동반 여행,28,인창 6단지 주공아파트,4
1,2,부모 동반 여행,28,드름산,3
12,3,2인 가족 여행,4,W 웨딩,4
11,3,2인 가족 여행,4,해돈촌 돼지국밥,4
11,3,2인 가족 여행,4,딥플로우 브루잉,5
11,3,2인 가족 여행,4,시고 조개구이,5
22,3,2인 가족 여행,4,비치그린아파트,2
10,3,2인 가족 여행,4,GS 더 프레시 경성 부경대점,4
11,3,2인 가족 여행,4,구자운 과자점 교대점,5
1,3,2인 가족 여행,4,회동수원지,5
2,3,2인 가족 여행,4,범어사,4
22,3,2인 가족 여행,4,한터 빌,4
7,3,2인 가족 여행,4,방어진항 남 방파제,4
22,3,2인 가족 여행,4,월드 스카이파크 아파트,3
1,3,2인 가족 여행,4,슬도,5
1,3,2인 가족 여행,4,대왕암공원 출렁다리,4
12,3,2인 가족 여행,4,훈스짐,5
22,3,2인 가족 여행,4,서부 성원상떼빌 아파트,4
1,3,2인 가족 여행,4,일산해수욕장,5
22,3,2인 가족 여행,4,월드 스카이파크 아파트,5
24,5,2인 여행(가족 외),22,하이 오션 경포,4
11,5,2인 여행(가족 외),22,차연희 순두부 청국장,4
11,5,2인 여행(가족 외),22,롱 블랙,2
24,5,2인 여행(가족 외),22,하이 오션 경포,4
11,5,2인 여행(가족 외),22,오봉이 해물칼국수,4
7,5,2인 여행(가족 외),22,경포해수욕장,5
24,5,2인 여행(가족 외),22,하이 오션 경포,4
11,5,2인 여행(가족 외),22,남경 막국수,5
1,5,2인 여행(가족 외),22,소 돌아들 바위,5
11,5,2인 여행(가족 외),22,강냉이 소쿠리,4
11,5,2인 여행(가족 외),22,순두부 젤라또 3호점,3
11,5,2인 여행(가족 외),22,초당 커피 정미소,3
11,5,2인 여행(가족 외),22,메밀에 감자,4
2,5,2인 여행(가족 외),22,주문진 방사제,4
11,5,2인 여행(가족 외),22,카페 콥스,4
21,5,2인 여행(가족 외),22,호반베르디움 센트럴 포레 아파트,2
11,5,2인 여행(가족 외),22,수제어묵 크로켓,4
11,5,2인 여행(가족 외),22,이와 국수 1호점,4
11,5,2인 여행(가족 외),22,에이엔 브레드,4
1,3,2인 가족 여행,6,철원 한탄강 주상절리길 드르니 매표소,4
1,3,2인 가족 여행,6,철원 한탄강 주상절리길 순담 매표소,4
11,3,2인 가족 여행,6,기와집,3
2,3,2인 가족 여행,6,고석정,5
1,3,2인 가족 여행,6,포천아트밸리,5
4,3,2인 가족 여행,6,명동거리,3
9,3,2인 가족 여행,6,신원 다 마을,5
4,3,2인 가족 여행,6,송이네,5
4,3,2인 가족 여행,6,이마트 에브리데이 신원 당적,5
11,2,3인 이상 여행(가족 외),28,MRNW,3
1,2,3인 이상 여행(가족 외),28,하중도 유채꽃 단지,4
11,2,3인 이상 여행(가족 외),28,뱀부 가든,4
4,2,3인 이상 여행(가족 외),28,하북 농협 하나로마트,5
24,2,3인 이상 여행(가족 외),28,BN888 펜션,5
11,2,3인 이상 여행(가족 외),28,시례 정가든,4
1,2,3인 이상 여행(가족 외),28,영남알프스 얼음골 케이블카 매표소,4
1,2,3인 이상 여행(가족 외),28,천황산,5
1,2,3인 이상 여행(가족 외),28,재약산,5
11,2,3인 이상 여행(가족 외),28,언양 전통 불고기,4
11,5,나홀로 여행,4,버릇 식당,4
7,5,나홀로 여행,4,회동수원지,5
11,5,나홀로 여행,4,선 유도원,4
2,5,나홀로 여행,4,홍법사,5
11,5,나홀로 여행,4,직구나 담양 석갈비촌,5
5,5,나홀로 여행,4,스포 원 파크 금정체육공원,5
24,1,자녀 동반 여행,28,오색온천장,5
1,1,자녀 동반 여행,28,오색약수,5
12,1,자녀 동반 여행,28,오색 탄산온천,5
11,1,자녀 동반 여행,28,약수 식당,5
9,1,자녀 동반 여행,28,만 서리지가 네 막국수,5
11,1,부모 동반 여행,21,철마 연밥,4
2,1,부모 동반 여행,21,아홉 살 숲,5
11,1,부모 동반 여행,21,다락,4
13,1,부모 동반 여행,21,대왕암공원,5
11,1,부모 동반 여행,21,진미 초장집,1
4,1,부모 동반 여행,21,롯데 프리미엄 아울렛 동부산점,5
4,3,3인 이상 여행(가족 외),1,코스트코 부산점,1
12,3,3인 이상 여행(가족 외),1,시스 디자인 부산 센텀,3
11,3,3인 이상 여행(가족 외),1,카페 오후의 홍차,1
4,3,2인 가족 여행,8,마루 정원 제빵소,4
24,3,2인 가족 여행,8,세이지힐,4
11,3,2인 가족 여행,8,학곡사거리 닭갈비 막국수,4
4,3,2인 가족 여행,8,춘천 세계 주류 마켓,4
24,3,2인 가족 여행,8,세이지힐,4
24,2,자녀 동반 여행,1,데이즈 힐,5
9,2,자녀 동반 여행,1,양평 휴게 주유소 원주 방향,5
11,2,자녀 동반 여행,1,솔봉 갈비,5
1,2,자녀 동반 여행,1,대관령,5
11,2,자녀 동반 여행,1,청기와,5
2,2,자녀 동반 여행,1,강릉커피 박물관,5
24,2,자녀 동반 여행,1,더 제니스 호텔,4
11,6,부모 동반 여행,22,감자바위,5
4,6,부모 동반 여행,22,오란다 상점,5
10,6,부모 동반 여행,22,고래 책방,5
13,6,부모 동반 여행,22,소꿉놀이,5
24,1,자녀 동반 여행,21,체스터 톤스 속초,5
24,1,자녀 동반 여행,21,체스터 톤스 속초,5
11,1,자녀 동반 여행,21,갈풍집 속초점,4
7,1,자녀 동반 여행,21,청초 호수공원,5
10,1,자녀 동반 여행,21,CU 속초 청초호점,5
11,1,자녀 동반 여행,21,명품 고기랑 조개랑,4
11,1,자녀 동반 여행,21,청초수물회,4
13,1,자녀 동반 여행,21,개 배 선착장,5
10,1,자녀 동반 여행,21,CU 강릉 소금강 삼거리점,4
1,1,자녀 동반 여행,21,소금강계곡,5
11,1,자녀 동반 여행,21,흑돈 연가,4
11,5,자녀 동반 여행,10,유명 순댓국,2
24,5,자녀 동반 여행,10,피닉스 평창,4
5,5,자녀 동반 여행,10,피닉스 평창 볼링센터,4
24,5,자녀 동반 여행,10,피닉스 평창 유로 빌라,5
11,5,자녀 동반 여행,10,피닉스 평창 온도,4
6,5,자녀 동반 여행,10,피닉스 평창 블루캐니언,5
24,5,자녀 동반 여행,10,피닉스 평창 유로 빌라,5
11,5,자녀 동반 여행,10,피닉스 평창 온도,4
6,5,자녀 동반 여행,10,피닉스 평창 키즈플레이 라운지,4
6,5,자녀 동반 여행,10,피닉스 평창 곤돌라,3
11,4,2인 가족 여행,22,비와 별 닭갈비 소양강점,5
4,4,2인 가족 여행,22,카페 감자밭 본점,5
6,4,2인 가족 여행,22,소양강 처녀상,5
6,2,2인 여행(가족 외),2,비발디파크 오션월드,4
24,2,2인 여행(가족 외),2,소노벨 비발디파크,5
24,2,2인 여행(가족 외),2,소노벨 비발디파크,5
11,2,2인 여행(가족 외),2,양지말 화로구이,5
11,2,2인 여행(가족 외),2,온 더 가든,5
13,2,2인 여행(가족 외),2,알파카 월드,5
10,2,2인 여행(가족 외),2,남산농협 하나로마트 광판점,4
24,2,2인 여행(가족 외),2,소노벨 비발디파크,5
11,2,2인 여행(가족 외),2,온 더 가든,5
1,2,2인 여행(가족 외),2,의암호 스카이워크,4
1,2,2인 여행(가족 외),2,춘천 삼악산 호수 케이블카,5
11,1,나홀로 여행,22,해운대 할미 집,4
11,1,나홀로 여행,22,문 토스트,4
1,1,나홀로 여행,22,황령산 봉수대,4
24,1,나홀로 여행,22,버튼 호텔 남포점,4
4,1,나홀로 여행,22,세정,4
24,1,나홀로 여행,22,버튼 호텔 남포점,4
11,1,나홀로 여행,22,희야네 황태 국밥,4
11,1,2인 여행(가족 외),8,대경 식당,5
11,1,2인 여행(가족 외),8,명주 정원,5
6,1,2인 여행(가족 외),8,함창 명주 테마파크,5
24,1,2인 여행(가족 외),8,상주 우산 캠핑장,5
11,1,2인 여행(가족 외),8,루안,5
1,2,자녀 동반 여행,6,악양 생태공원,4
8,2,자녀 동반 여행,6,무진장,2
12,4,3대 동반 여행(친척 포함),1,GS칼텍스 경향 주유소,5
10,4,3대 동반 여행(친척 포함),1,호산 빵집,3
24,4,3대 동반 여행(친척 포함),1,쏠비치 삼척,1
4,4,3대 동반 여행(친척 포함),1,굿앤 구스 쏠비치 삼척 점,5
11,4,3대 동반 여행(친척 포함),1,쏠비치 삼척 뜰인 더 그릴,5
7,4,3대 동반 여행(친척 포함),1,쏠비치 삼척,5
24,4,3대 동반 여행(친척 포함),1,쏠비치 삼척,5
11,4,3대 동반 여행(친척 포함),1,쏠비치 삼척 해파리,5
13,4,3대 동반 여행(친척 포함),1,도째비골스카이밸리,5
24,2,나홀로 여행,6,강촌 W 펜션,3
3,2,나홀로 여행,6,김유정문학촌,3
13,2,나홀로 여행,6,브이 스페이스,2
11,2,나홀로 여행,6,금병산 약초,5
7,2,나홀로 여행,6,봄내길 1코스,4
1,2,나홀로 여행,6,육림 고개,1
4,2,나홀로 여행,6,명동 닭갈비 골목,3
11,2,나홀로 여행,6,유미 닭갈비,3
4,2,나홀로 여행,6,춘천 낭만시장,1
13,2,나홀로 여행,6,춘천 중도 물레길,3
24,2,나홀로 여행,6,강촌 W 펜션,3
11,2,나홀로 여행,6,가마솥,3
11,2,나홀로 여행,6,금병산 약초,5
3,2,나홀로 여행,21,부산 시립미술관,5
11,2,나홀로 여행,21,융캉찌에,5
4,2,나홀로 여행,21,밀란 더 마켓,5
1,2,나홀로 여행,21,광안리해수욕장,5
11,2,나홀로 여행,21,스시 맛이 우 센텀점,4
24,2,나홀로 여행,21,센텀 스위트 호텔,4
1,2,나홀로 여행,21,광안리해수욕장,5
11,2,나홀로 여행,21,수변 최고 돼지국밥,5
1,2,나홀로 여행,21,용두산공원,4
4,2,나홀로 여행,21,광복로 패션거리,4
4,2,나홀로 여행,21,보수동 책방 골목,4
4,2,나홀로 여행,21,부평 깡통시장,4
4,2,나홀로 여행,21,BIFF 거리,4
11,2,나홀로 여행,21,송정 해녀 집,5
11,2,나홀로 여행,21,코랄 라느니,5
4,2,나홀로 여행,21,에지 993,4
2,2,나홀로 여행,21,해동용궁사,5
1,2,나홀로 여행,21,해운대해수욕장,4
1,2,나홀로 여행,21,광안리해수욕장,5
11,2,나홀로 여행,21,히얼이자 커피,5
2,3,자녀 동반 여행,8,대왕암공원,5
24,3,자녀 동반 여행,8,대왕암공원 오토캠핑장,5
1,3,자녀 동반 여행,8,일산해수욕장,5
3,3,자녀 동반 여행,8,장생포 고래 박물관,5
11,3,자녀 동반 여행,8,미소 지은,5
3,3,자녀 동반 여행,8,장생포 고래문화마을,5
11,2,2인 여행(가족 외),22,카페톨,2
1,2,2인 여행(가족 외),22,다랭이마을,3
11,2,2인 여행(가족 외),22,헐스 밴드,5
1,2,2인 여행(가족 외),22,장항 해수풀장,4
1,2,2인 여행(가족 외),22,상주은모래비치,3
1,2,2인 여행(가족 외),22,설리해수욕장,5
10,2,2인 여행(가족 외),22,초록 스토어,5
11,2,2인 여행(가족 외),22,수어 메밀짜장,4
24,2,2인 여행(가족 외),22,온 뷰 모텔,4
24,2,2인 여행(가족 외),22,온 뷰 모텔,4
4,2,2인 여행(가족 외),22,플랫 포트,1
11,2,2인 여행(가족 외),22,인산인해,4
11,2,2인 여행(가족 외),22,힙한 식,3
1,1,2인 여행(가족 외),4,금진 해변,4
11,1,2인 여행(가족 외),4,디스코 버거,4
24,1,2인 여행(가족 외),4,탑스 테인 리스강 호텔,5
1,1,2인 여행(가족 외),4,금진 해변,4
24,1,2인 여행(가족 외),4,탑스 테인 리스강 호텔,5
9,1,2인 여행(가족 외),4,대영 충전소,3
11,1,2인 여행(가족 외),4,오뚝이 칼국수,3
11,1,2인 여행(가족 외),4,카페 하버,4
1,1,2인 여행(가족 외),4,무릉 계곡 관광지,5
11,1,2인 여행(가족 외),4,본전해물아구찜,5
24,1,2인 여행(가족 외),4,탑스 테인 리스강 호텔,5
11,1,2인 여행(가족 외),4,늘 해 빚,5
13,1,2인 여행(가족 외),4,무릉 별유천지,4
1,1,2인 여행(가족 외),4,추암 촛대바위,4
1,1,2인 여행(가족 외),4,미인폭포,5
11,1,2인 여행(가족 외),4,화평 식당,5
11,2,자녀 동반 여행,21,강릉 동화 가든 본점,5
1,2,자녀 동반 여행,21,강문해변,5
7,2,자녀 동반 여행,21,경포해수욕장,5
1,2,자녀 동반 여행,21,경포호,5
11,2,자녀 동반 여행,21,테라로사 경포호수점,5
11,2,자녀 동반 여행,21,허니 홈피(강릉 본점),5
2,2,자녀 동반 여행,21,허균 허난설헌 기념관,3
11,2,자녀 동반 여행,21,이디야커피 세인트존스 경포 호텔점,4
6,2,자녀 동반 여행,21,런닝맨 강릉점,5
11,2,자녀 동반 여행,21,초당 11,3
4,2,자녀 동반 여행,21,디베이스,5
4,2,자녀 동반 여행,21,강릉 중앙시장,5
7,1,2인 여행(가족 외),22,태화강 국가 정원 십 리 대숲,4
1,1,2인 여행(가족 외),22,태화강 국가 정원,5
11,1,2인 여행(가족 외),22,행루즈 버거,4
2,1,2인 여행(가족 외),22,슬도,4
11,1,2인 여행(가족 외),22,오브리,4
24,3,3인 이상 여행(가족 외),6,호텔 프리마베라 In BUSAN,3
1,3,3인 이상 여행(가족 외),6,해운대해수욕장,5
11,3,3인 이상 여행(가족 외),6,금수복국 해운대본점,4
11,3,3인 이상 여행(가족 외),6,스로잉 클라우드,4
1,3,3인 이상 여행(가족 외),6,해운대 달맞이 공원,4
11,3,3인 이상 여행(가족 외),6,백화 양 곱창 5호,4
24,3,3인 이상 여행(가족 외),6,더 휴식 아늑 호텔 부산 남포점,5
4,3,3인 이상 여행(가족 외),6,국제시장,4
2,3,3인 이상 여행(가족 외),6,흰 여울 문화마을,5
11,3,3인 이상 여행(가족 외),6,해빙 모멘트,5
11,3,3인 이상 여행(가족 외),6,18번 완당집,5
4,3,3인 이상 여행(가족 외),6,광복로 패션거리,4
4,2,나홀로 여행,6,이화 식당,5
2,2,나홀로 여행,6,하회 세계 탈 박물관,4
2,2,나홀로 여행,6,안동 하회마을,5
7,2,나홀로 여행,6,부용대,5
24,2,나홀로 여행,6,단호샌드파크 캠핑장,5
24,2,나홀로 여행,6,안동 파크호텔,3
8,2,나홀로 여행,6,웅부공원,5
11,2,나홀로 여행,6,빽다방 안동문화의 거리점,4
2,2,나홀로 여행,6,전통문화콘텐츠 박물관,3
4,2,나홀로 여행,6,중앙 문화의 거리 공영주차장,5
4,2,나홀로 여행,6,홈플러스 안동점,5
3,2,나홀로 여행,6,모디 684,5
24,2,나홀로 여행,6,안동 파크호텔,3
11,2,나홀로 여행,6,서울식당,5
7,2,나홀로 여행,6,백조공원 음악 분수,5
4,2,나홀로 여행,6,안동문화의 거리,5
10,2,나홀로 여행,6,세븐일레븐 안동 등부점,5
24,2,나홀로 여행,6,안동 파크호텔,3
11,2,나홀로 여행,6,신선 식당,5
4,2,나홀로 여행,6,안동 중앙 신시장,5
11,1,3인 이상 여행(가족 외),3,참나무 숯불닭갈비 막국수,4
11,1,3인 이상 여행(가족 외),3,그로우 딥,5
1,1,3인 이상 여행(가족 외),3,아야진해수욕장,5
4,1,3인 이상 여행(가족 외),3,속초관광수산시장,5
4,1,3인 이상 여행(가족 외),3,대포항 수산시장,5
24,1,3인 이상 여행(가족 외),3,꾸다 펜션,5
11,1,3인 이상 여행(가족 외),3,영식이네 순대 국밥,5
2,1,3인 이상 여행(가족 외),3,낙산사,5
11,1,3인 이상 여행(가족 외),3,카페 소돌엔,5
24,1,3인 이상 여행(가족 외),3,스카이베이 호텔 경포,5
7,1,3인 이상 여행(가족 외),3,경포해수욕장,5
11,1,3인 이상 여행(가족 외),3,영덕대게 횟집,5
24,1,3인 이상 여행(가족 외),3,스카이베이 호텔 경포,5
11,1,3인 이상 여행(가족 외),3,쉘 팩토리,5
13,1,3인 이상 여행(가족 외),3,강릉에 컷,5
10,1,3인 이상 여행(가족 외),3,강릉원예농협 하나로마트 초당점,5
2,1,3인 이상 여행(가족 외),3,월정사,5
4,5,나홀로 여행,7,신세계백화점 대구점,5
24,5,나홀로 여행,7,히로텔,4
24,5,나홀로 여행,7,히로텔,4
11,5,나홀로 여행,7,머냐 삼겹살,4
5,5,나홀로 여행,7,바바리,4
24,5,나홀로 여행,7,솔라리아니시테츠호텔 부산점,5
11,5,나홀로 여행,7,조개 공장 서면점,4
12,5,나홀로 여행,7,루에다 클럽,5
24,5,나홀로 여행,7,솔라리아니시테츠호텔 부산점,5
2,1,2인 여행(가족 외),3,국립경주박물관,5
4,1,2인 여행(가족 외),3,황련단길,4
24,1,2인 여행(가족 외),3,스테이 더 나이트,5
8,1,2인 여행(가족 외),3,대릉원,3
24,1,2인 여행(가족 외),3,스테이 더 나이트,4
11,1,2인 여행(가족 외),3,카페 메이플,5
2,1,2인 여행(가족 외),3,불국사,5
1,1,2인 여행(가족 외),3,경주 보문관광단지,4
24,1,2인 여행(가족 외),3,스테이 더 나이트,4
4,1,2인 여행(가족 외),3,황련단길,4
8,1,2인 여행(가족 외),3,동궁과 월지,5
24,1,2인 여행(가족 외),3,스테이 더 나이트,4
4,1,2인 여행(가족 외),3,황련단길,4
11,1,자녀 동반 여행,2,불국사 밀면,5
24,1,자녀 동반 여행,2,풍뎅이 호스텔,5
11,1,자녀 동반 여행,2,너드,5
2,1,자녀 동반 여행,2,경주 문무대왕릉,5
4,1,자녀 동반 여행,2,양북 시장,5
11,1,자녀 동반 여행,2,녹음제과,5
11,1,자녀 동반 여행,2,경주 손칼국수,5
6,1,자녀 동반 여행,2,경주월드,5
11,1,자녀 동반 여행,2,맷돌순두부,5
2,1,자녀 동반 여행,2,천마총,5
21,1,자녀 동반 여행,2,풍호 한림 리츠빌 아파트,1
2,1,자녀 동반 여행,2,국립경주박물관,5
2,1,자녀 동반 여행,2,분황사,5
11,1,자녀 동반 여행,2,커피 플레이스,5
11,1,자녀 동반 여행,2,함양집,3
24,1,자녀 동반 여행,22,굿모닝 호텔,5
11,1,자녀 동반 여행,22,포크니 테이블,5
1,1,자녀 동반 여행,22,속초해수욕장,5
24,1,자녀 동반 여행,22,굿모닝 호텔,5
11,1,자녀 동반 여행,22,굿모닝 호텔,3
11,1,자녀 동반 여행,22,코개러지,5
1,1,자녀 동반 여행,22,서피 비치,5
1,1,자녀 동반 여행,22,하조대 전망대,5
1,1,자녀 동반 여행,22,수산항,5
11,1,자녀 동반 여행,22,흥부네 밥상,5
7,1,자녀 동반 여행,22,청초호유원지,5
11,1,자녀 동반 여행,22,청초 숯불갈비,4
11,1,자녀 동반 여행,22,파스쿠찌 베룸빡점,5
4,1,자녀 동반 여행,22,속초관광수산시장,5
4,1,자녀 동반 여행,22,속초관광수산시장,5
1,1,자녀 동반 여행,22,개배 선착장,5
1,1,자녀 동반 여행,22,아바이마을,5
11,1,자녀 동반 여행,22,앤커이 스토리,5
11,4,2인 여행(가족 외),23,초량 밀면,5
24,4,2인 여행(가족 외),23,플레어 드 블랑,4
4,4,2인 여행(가족 외),23,신세계백화점 센텀시티점,5
13,4,2인 여행(가족 외),23,아이 러브 유 요트,4
11,4,2인 여행(가족 외),23,땅땅 치킨 부산 해운대점,4
24,4,2인 여행(가족 외),23,플레어 드 블랑,4
7,4,2인 여행(가족 외),23,해운대해수욕장,4
24,4,2인 여행(가족 외),23,그랜드 엘시티 레지던스,5
11,4,2인 여행(가족 외),23,새 아침 맛집,4
11,4,2인 여행(가족 외),23,스타벅스 팔래스 시즈점,4
4,4,2인 여행(가족 외),23,이마트 해운대점,4
4,4,2인 여행(가족 외),23,칸 마트 엘시티점,4
24,4,2인 여행(가족 외),23,그랜드 엘시티 레지던스,5
11,4,2인 여행(가족 외),23,해 밥 해운대점,3
11,4,2인 여행(가족 외),23,캥거루 포인트,5
24,5,자녀 동반 여행,8,고성 다이노 캠핑장,5
24,5,자녀 동반 여행,8,고성 다이노 캠핑장,4
4,5,자녀 동반 여행,8,고성시장,5
24,5,자녀 동반 여행,8,고성 다이노 캠핑장,5
11,5,자녀 동반 여행,8,통영 짬뽕,4
11,4,3인 이상 여행(가족 외),23,더 가든,3
1,4,3인 이상 여행(가족 외),23,의림지,5
2,1,나홀로 여행,3,흰 여울 문화마을,3
4,1,나홀로 여행,3,점포 사잇길,5
24,1,3인 이상 여행(가족 외),3,상이 재,5
11,1,3인 이상 여행(가족 외),3,곤드레만드레,4
2,1,3인 이상 여행(가족 외),3,아리랑 박물관,5
11,1,3인 이상 여행(가족 외),3,엔제리너스 정선농협점,4
24,1,3인 이상 여행(가족 외),3,상이재,5
11,1,3인 이상 여행(가족 외),3,국수당 강원 정선점,4
11,1,3인 이상 여행(가족 외),3,청년 한식 정선점,5
13,1,3인 이상 여행(가족 외),3,정선 레일바이크,5
11,1,3인 이상 여행(가족 외),3,번영 식당,5
1,1,3인 이상 여행(가족 외),3,오장폭포 주차장,4
11,1,3인 이상 여행(가족 외),3,현대 숯불갈비,1
10,1,3인 이상 여행(가족 외),3,다이소 정선점,5
10,1,3인 이상 여행(가족 외),3,GS25 정선 아리점,5
24,1,3인 이상 여행(가족 외),3,상이 재,5
11,1,3인 이상 여행(가족 외),3,회동 집,5
10,1,3인 이상 여행(가족 외),3,정선 남매 농산,5
11,1,3인 이상 여행(가족 외),3,빽다방 강원 정선점,5
1,1,3인 이상 여행(가족 외),3,로미지 안 가든,5
11,1,3인 이상 여행(가족 외),3,동원 막국수,5
21,1,3인 이상 여행(가족 외),3,초원마을 그린타운 아파트,2
22,1,2인 여행(가족 외),3,창원광장동광뷰엘오피스텔,2
22,1,2인 여행(가족 외),3,창원광장동광뷰엘오피스텔,1
11,1,2인 여행(가족 외),3,김밥나라 율리점,3
2,1,2인 여행(가족 외),3,무진장,1
11,1,2인 여행(가족 외),3,마산 쪼개 창고,4
11,1,자녀 동반 여행,24,한일 횟집,4
13,1,자녀 동반 여행,24,일등도,5
13,1,자녀 동반 여행,24,비토 해양낚시공원,4
11,1,자녀 동반 여행,24,비토섬 한 마당,5
24,1,자녀 동반 여행,24,비토 펜션,4
11,1,자녀 동반 여행,24,아르 비토 카페,5
7,1,자녀 동반 여행,24,별주부전테마파크,3
24,1,자녀 동반 여행,24,비토 펜션,4
11,1,자녀 동반 여행,24,브런치 카페 함 베이글,4
24,2,나홀로 여행,3,경주 게스트하우스 프렌드,5
2,2,나홀로 여행,3,대릉원,5
2,2,나홀로 여행,3,동궁과 월지,3
2,2,나홀로 여행,3,국립경주박물관,5
11,2,나홀로 여행,3,교동 집밥,5
11,2,나홀로 여행,3,커들리 하우스,3
8,2,나홀로 여행,3,대릉원,4
2,2,나홀로 여행,3,불국사,5
2,2,나홀로 여행,3,한국 대중음악 박물관,4
